allergens,non allergens
SF-FLV0079  --  FLV-CHEDDAR & SOUR CREAM FROMATECH SE 1355.022,
SF-FLV0080  --  FLV-HEMALAYAN SALT ,
SF-FLV0083  --  Flavour-HCPL (Carmin Color) Formatech 2680.023,
SF-FLV0084  --  FLV-Roasted Shrimp – S-685G1 seasoning-NP,
SF-FLV0085  --  FLV-Cheese Seasoning 4000015568-VKL,
SF-FLV0086  --  FLV-Cheese Garlic Seasoning 4000015569-VKL,
SF-FLV0088  --  FLV-Chicken DFFS 123723 (Symrise),
SF-FLV0089  --  FLV-LIME VINEGAR 700041280 (SYMEGA),
SF-FLV0090  --  FLV-Yoghurt Seasoning  700043029 (SYMEGA),
SF-FLV0091  --  FLV-Bule Cheese Compound Fromatech SE1296.002,
SF-FLV0092  --  FLV-Truffle Compound Fromatech SE 1767.003,
SF-FLV0093  --  FLV-Zaatar Fromatech SE 1803.002,
SF-FLV0094  --  FLV-Pickled Onion Compound Fromatech SE 2163.006,
SF-FLV0095  --  FLV-Wasabi 700039790  (Symega),
SF-FLV0096  --  FLV-MAGIC MASALA D232140 (GRIFFCO),
SF-FLV0097  --  FLV-Peanut Seasoning 700042940  (Symega),
SF-FLV0099  --  FLV-Zaatar (Local),
SF-FLV0100  --  FLV-SALT (Bugles),
SF-MIC0033  --  USED WOODEN PALLETS,
SF-OIL0001  --  PALMOLIEN,
SF-OIL0004  --  VEGETABLE OIL SHORTENING,
SF-OIL0005  --  Olive Oil,
SF-OTH0001  --  SEMOLINA,
SF-OTH0002  --  WHEAT FLOUR,
SF-OTH0003  --  SUGAR,
SF-OTH0005  --  Baking Powder,
SF-OTH0006  --  CORN FLOUR,
SF-OTH0007  --  DIMODAN HP 1,
SF-OTH0008  --  Lentil,
SF-OTH0009  --  Peanut Butter,
SF-OTH0010  --  Milk Protein,
SF-OTH0012  --  Rice Powder,
SF-OTH0013  --  YelloW Peas Grits,
SF-OTH0014  --  Moung protein,
SF-OTH0016  --  Sodium Acid pyrophosphate 28 (SAPP),
SF-OTH0017  --  Distilled monoglyceride- DMG (Dimodan),
SF-OTH0018  --  Sweet Whey powder,
SF-OTH0019  --  Natracol Niveous Ivory E170 (Calcium carbonate),
SF-OTH0020  --  Modified Tapioca Starch BULFLO,
SF-PBG0162  --  POLYBAG FICOM PUFAK CHEESE SHIP (Green) 18GMX20P,
SF-PLT0011  --  PELLET-FRENCH FRIES,
SF-PLT0020  --  PELLET - BUGLES (GM),
SF-PLT0021  --  PELLET- Pretzels Mini Knots Salted (GM),
SF-PLT0022  --  PELLET-Pretzels Bagel Slated (GM),
SF-POD0001  --  CORN MASA/FLOUR FINE,
SF-POD0002  --  CORN GRITS 101,
SF-POD0003  --  POTATO STARCH,
SF-POD0004  --  POTATO FLAKES,
SF-POD0005  --  POTATO GRANULES,
SF-POD0007  --  CORN STARCH,
SF-POD0008  --  CORN GRITS 108,
SF-POD0009  --  CORN MASA/FLOUR COARSE,
SF-POD0010  --  Masa Flour,
SF-POD0011  --  Suprex Potato Replacer Golden MV300,
SF-POD0012  --  Euro Suprex Corn <300,
SF-POD0013  --  Suprex Wheat <300 Retrospect,
SF-POD0014  --  Golden Corn Granules <300,
SF-POD0015  --  Maize Grits 108 Euro,
SF-POD0016  --  Maize Grits 101 Euro,
SF-POT0001  --  POTATO,
